emotion,intensity,statement,repetition,actor,actor_name,file_name
angry,normal,02,01,male,actor_16,data/Actor_16/03-01-05-01-02-01-16.wav
fearful,normal,02,02,male,actor_16,data/Actor_16/03-01-06-01-02-02-16.wav
fearful,strong,01,02,male,actor_16,data/Actor_16/03-01-06-02-01-02-16.wav
angry,strong,01,01,male,actor_16,data/Actor_16/03-01-05-02-01-01-16.wav
disgust,normal,01,01,male,actor_16,data/Actor_16/03-01-07-01-01-01-16.wav
sad,normal,01,02,male,actor_16,data/Actor_16/03-01-04-01-01-02-16.wav
sad,strong,02,02,male,actor_16,data/Actor_16/03-01-04-02-02-02-16.wav
disgust,strong,02,01,male,actor_16,data/Actor_16/03-01-07-02-02-01-16.wav
surprised,strong,02,01,male,actor_16,data/Actor_16/03-01-08-02-02-01-16.wav
surprised,normal,01,01,male,actor_16,data/Actor_16/03-01-08-01-01-01-16.wav
happy,strong,02,02,male,actor_16,data/Actor_16/03-01-03-02-02-02-16.wav
happy,normal,01,02,male,actor_16,data/Actor_16/03-01-03-01-01-02-16.wav
calm,strong,01,01,male,actor_16,data/Actor_16/03-01-02-02-01-01-16.wav
neutral,normal,02,02,male,actor_16,data/Actor_16/03-01-01-01-02-02-16.wav
calm,normal,02,01,male,actor_16,data/Actor_16/03-01-02-01-02-01-16.wav
happy,strong,01,01,male,actor_16,data/Actor_16/03-01-03-02-01-01-16.wav
happy,normal,02,01,male,actor_16,data/Actor_16/03-01-03-01-02-01-16.wav
calm,strong,02,02,male,actor_16,data/Actor_16/03-01-02-02-02-02-16.wav
calm,normal,01,02,male,actor_16,data/Actor_16/03-01-02-01-01-02-16.wav
neutral,normal,01,01,male,actor_16,data/Actor_16/03-01-01-01-01-01-16.wav
fearful,normal,01,01,male,actor_16,data/Actor_16/03-01-06-01-01-01-16.wav
angry,normal,01,02,male,actor_16,data/Actor_16/03-01-05-01-01-02-16.wav
angry,strong,02,02,male,actor_16,data/Actor_16/03-01-05-02-02-02-16.wav
fearful,strong,02,01,male,actor_16,data/Actor_16/03-01-06-02-02-01-16.wav
sad,normal,02,01,male,actor_16,data/Actor_16/03-01-04-01-02-01-16.wav
disgust,normal,02,02,male,actor_16,data/Actor_16/03-01-07-01-02-02-16.wav
disgust,strong,01,02,male,actor_16,data/Actor_16/03-01-07-02-01-02-16.wav
sad,strong,01,01,male,actor_16,data/Actor_16/03-01-04-02-01-01-16.wav
surprised,strong,01,02,male,actor_16,data/Actor_16/03-01-08-02-01-02-16.wav
surprised,normal,02,02,male,actor_16,data/Actor_16/03-01-08-01-02-02-16.wav
